"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.990456037E0,1.411322403E1,-1.253497601E0,-3.417835236E0,1.457518255E1
1.998360090E0,1.221090698E1,-2.604366302E0,-2.365985394E0,1.270774803E1
2.006294660E0,9.592082024E0,-3.705599308E0,-1.019519925E0,1.033338883E1
2.014198713E0,6.668348312E0,-4.689567089E0,-1.373037219E0,8.267051464E0
2.022072248E0,5.746053696E0,-4.459599972E0,-1.239794612E0,7.378499554E0
2.030006818E0,3.904523849E0,-4.009725571E0,-2.245995045E0,6.030563770E0
2.037910871E0,5.059795380E-1,-3.930428028E0,-2.358015537E0,4.611346555E0
2.045845441E0,-1.359455585E0,-3.373508453E0,4.173153400E0,5.535692195E0
2.053718976E0,-1.808038712E0,-2.332399368E0,5.815958977E0,6.521845568E0
2.061592511E0,-2.722201824E0,-2.269696712E0,3.753260136E0,5.162254119E0
2.069496564E0,4.869203568E-1,-1.680114746E0,2.094532251E0,2.728908636E0
2.077370099E0,4.063583374E0,-4.794917107E-1,2.186137199E0,4.639161346E0
2.085335187E0,5.992770672E0,2.873740196E-1,2.315962553E0,6.431140389E0
2.093269758E0,4.962619781E0,9.663605690E-1,1.985814095E0,5.431841811E0
2.101173810E0,6.585927010E-1,1.098943233E0,1.787242413E0,2.199012510E0
2.109138898E0,-4.166603088E0,8.303380013E-1,8.543269634E-1,4.333580166E0
2.117073469E0,-6.609196186E0,1.546059608E0,2.039580941E-1,6.790682841E0
2.125069074E0,-5.804729939E0,8.933153152E-1,-1.960193038E0,6.191547356E0
2.132942609E0,-5.158801079E-1,1.273593426E0,1.043515086E0,1.725426392E0
2.140846662E0,5.201320648E0,6.105852127E-1,-7.670015097E-2,5.237598085E0
2.148811750E0,2.696609497E-2,2.691602707E-2,3.446370363E-2,5.137499060E-2
2.156685285E0,-1.062939167E0,-8.138561249E-2,2.453481913E0,2.675076968E0
2.164619855E0,-9.124302864E-1,9.770398140E-1,2.801938772E0,3.104512314E0
2.172493390E0,-7.922506332E-2,1.655324936E0,3.424526691E0,3.804439553E0
2.180336408E0,1.977932453E0,-7.692112923E-1,3.187625885E0,3.829472755E0
2.188301496E0,-1.504128933E0,-9.019994736E-2,3.469660759E0,3.782735209E0
2.196175031E0,-7.464904785E-1,5.175194740E-1,3.045256615E0,3.177839249E0
2.204140119E0,-2.714076042E-1,1.165479660E0,2.795880318E0,3.041208917E0
2.212013654E0,-2.904319763E-1,-3.749704361E-2,1.202684522E0,1.237823420E0
2.219917707E0,4.251747608E0,-2.368776321E0,-9.177438617E-1,4.952848956E0
2.227852277E0,-1.688568592E0,-1.468968391E0,2.395557165E0,3.278387737E0
2.235725812E0,1.470595360E0,-2.174432755E0,3.188939571E0,4.130392730E0
2.243660383E0,2.231167793E0,-3.007823944E0,3.291342735E0,4.985784953E0
2.251533918E0,-2.389764786E0,-4.114950180E0,2.470485926E0,5.361631414E0
2.259407453E0,1.360545635E0,-3.025957108E0,1.905818224E0,3.826178765E0
2.267342023E0,1.837945461E0,-7.093629837E-1,2.973426819E0,3.566862264E0
2.275215558E0,-1.978882790E0,-2.975055218E0,6.743074059E-1,3.636154716E0
2.283180646E0,-3.367047071E0,-5.607807159E0,1.593981028E0,6.732405412E0
2.291054181E0,-5.388813019E0,-5.305532455E0,1.259168386E0,7.666386725E0
2.298927717E0,-2.569316387E0,-5.088534832E0,1.619929075E0,5.926106955E0
2.306862287E0,3.342566490E-1,-3.499491692E0,1.366549015E0,3.771687397E0
2.314705304E0,-3.037297249E0,-4.535186291E0,-1.020098925E-1,5.459257760E0
2.322670392E0,-7.766030312E0,-4.063170910E0,-1.023236275E0,8.824261845E0
2.330574445E0,-9.651726723E0,-2.265228748E0,5.018871427E-1,9.926680246E0
2.338447980E0,-3.980371952E0,3.445441246E0,1.397102594E0,5.446679898E0
2.346382551E0,-2.137332439E0,7.715092182E0,4.840167999E0,9.355108957E0
2.354286603E0,-5.653867722E-1,1.016583157E1,4.293221474E0,1.104968526E1
2.362221174E0,-6.976318359E-1,1.081284904E1,5.482380390E0,1.214334754E1
2.370125226E0,-4.053562164E0,1.022591209E1,5.886932373E0,1.247624211E1
2.377998761E0,-4.038175583E0,9.434835434E0,2.522408485E0,1.056813731E1
2.385933332E0,-1.968848944E0,8.502924919E0,5.308411717E-1,8.744020282E0
2.393806867E0,-3.669056892E-1,8.062753677E0,-2.492971182E0,8.447338158E0
2.401741437E0,-2.806234360E-1,8.246680260E0,-3.490709782E0,8.959438576E0
2.409584455E0,2.976082802E0,8.670414925E0,-2.621753216E0,9.534503329E0
2.417488508E0,8.122667313E0,9.403503418E0,2.977834940E-1,1.242949218E1
2.425453595E0,1.001805496E1,9.874672890E0,-1.661048651E0,1.416438041E1
2.433388166E0,8.343559265E0,9.050505638E0,-3.458979130E0,1.278636657E1
2.441353254E0,4.877828121E0,8.096517563E0,-5.673838615E0,1.102448405E1
2.449257306E0,9.269480705E0,1.089096832E1,-2.988027573E0,1.461043368E1
2.457130842E0,6.425086021E0,6.802475452E0,2.509890318E0,9.687876551E0
2.465065412E0,-2.243446827E0,5.738311768E0,9.578417778E0,1.138891403E1
2.472969465E0,-4.415052891E0,6.171884537E-1,-5.408183336E-1,4.490667889E0
2.480904035E0,3.285058022E0,-8.977759361E0,4.346968651E0,1.050180488E1
2.488777570E0,-3.097749949E0,-2.118513870E1,3.077748537E0,2.163050375E1
2.496681623E0,-7.497961044E0,-5.665580750E0,4.111133575E0,1.025766271E1
2.504616193E0,-2.694208384E0,3.947889805E0,-1.399474621E0,4.980273280E0
2.512489728E0,-2.450627804E0,1.885818958E0,-1.714316249E0,3.535642796E0
2.520424299E0,2.330408096E-1,-4.270495415E0,-2.969635010E0,5.206742859E0
2.528297834E0,2.908731937E0,-6.859238625E0,-2.836412907E0,7.972146146E0
2.536171369E0,-1.133122444E0,-1.172978497E1,3.731595039E0,1.236109313E1
