"Time (s)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"Altitude WGS84 (m)";"Speed (m/s)";"Direction (°)";"Distance (km)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)";"Satellites"
9,369116424E1;6,498747892E1;2,556083312E1;1,953377748E1;3,701318359E1;3,339999914E0;2,588999939E2;2,026624075E-1;3,790092468E0;2,500000000E0;4,100000000E1
9,469383533E1;6,498747517E1;2,556076429E1;1,933920284E1;3,681860352E1;3,000000000E0;2,633999939E2;2,060460971E-1;3,790092468E0;2,500000000E0;4,100000000E1
9,569622746E1;6,498747166E1;2,556069280E1;1,907932115E1;3,655871582E1;3,410000086E0;2,627000122E2;2,094917013E-1;3,790092468E0;2,500000000E0;4,100000000E1
9,669753918E1;6,498746590E1;2,556062079E1;1,948618546E1;3,696557617E1;3,359999895E0;2,600000000E2;2,128148503E-1;3,790092468E0;2,500000000E0;4,100000000E1
9,768910085E1;6,498745770E1;2,556055282E1;1,934385263E1;3,682324219E1;3,170000076E0;2,567999878E2;2,165298851E-1;3,790092468E0;2,500000000E0;4,100000000E1
9,869520580E1;6,498744455E1;2,556048018E1;1,914780483E1;3,662719727E1;3,509999990E0;2,501999969E2;2,204877758E-1;3,790092468E0;2,500000000E0;4,100000000E1
9,969126538E1;6,498743177E1;2,556040161E1;1,926944613E1;3,674884033E1;3,700000048E0;2,501999969E2;2,244181336E-1;3,790092468E0;2,500000000E0;4,100000000E1
1,006923475E2;6,498742136E1;2,556032172E1;1,865952245E1;3,613891602E1;3,619999886E0;2,531000061E2;2,280321646E-1;3,790092468E0;2,500000000E0;4,100000000E1
1,016938345E2;6,498741095E1;2,556024890E1;1,893363105E1;3,641302490E1;3,369999886E0;2,503999939E2;2,315233000E-1;3,790092468E0;2,500000000E0;4,100000000E1
1,026956499E2;6,498739952E1;2,556017974E1;1,842575579E1;3,590515137E1;3,380000114E0;2,486999969E2;2,346677758E-1;3,790092468E0;2,500000000E0;4,100000000E1
1,036909922E2;6,498738881E1;2,556011784E1;1,773282167E1;3,521221924E1;3,180000067E0;2,481999969E2;2,376923014E-1;3,790092468E0;2,500000000E0;4,100000000E1
1,046924650E2;6,498737620E1;2,556006084E1;1,726858387E1;3,474798584E1;3,069999933E0;2,456000061E2;2,412337422E-1;3,790092468E0;2,500000000E0;4,100000000E1
1,056969902E2;6,498736276E1;2,555999255E1;1,668319197E1;3,416259766E1;3,440000057E0;2,471999969E2;2,449002986E-1;3,790092468E0;2,500000000E0;4,100000000E1
1,066927479E2;6,498735060E1;2,555992006E1;1,698079742E1;3,446020508E1;3,460000038E0;2,486000061E2;2,483611876E-1;3,790092468E0;2,500000000E0;4,100000000E1
1,076946623E2;6,498733897E1;2,555985178E1;1,721108105E1;3,469049072E1;3,259999990E0;2,468000031E2;2,519358013E-1;3,790092468E0;2,500000000E0;4,100000000E1
1,086906476E2;6,498732545E1;2,555978280E1;1,698659005E1;3,446600342E1;3,369999886E0;2,463000031E2;2,552633023E-1;3,790092468E0;2,500000000E0;4,100000000E1
1,096925569E2;6,498731262E1;2,555971886E1;1,675178409E1;3,423120117E1;3,279999971E0;2,458999939E2;2,584999458E-1;3,790092468E0;2,500000000E0;4,100000000E1
1,106949852E2;6,498730011E1;2,555965670E1;1,691480536E1;3,439422607E1;3,170000076E0;2,466000061E2;2,615038880E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,116956247E2;6,498728887E1;2,555959860E1;1,749488051E1;3,497430420E1;2,930000067E0;2,473000031E2;2,641084999E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,126924605E2;6,498727899E1;2,555954837E1;1,797168442E1;3,545111084E1;2,430000067E0;2,466000061E2;2,664596561E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,136946418E2;6,498726931E1;2,555950391E1;1,799328758E1;3,547271729E1;2,220000029E0;2,426999969E2;2,683366202E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,146922705E2;6,498726137E1;2,555946868E1;1,792870953E1;3,540814209E1;1,720000029E0;2,443000031E2;2,698783308E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,156905842E2;6,498725433E1;2,555944043E1;1,829589411E1;3,577532959E1;1,519999981E0;2,416999969E2;2,714393175E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,166907332E2;6,498724672E1;2,555941253E1;1,843413523E1;3,591357422E1;1,610000014E0;2,393000031E2;2,738724560E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,176914618E2;6,498723963E1;2,555936357E1;1,888359785E1;3,636303711E1;2,480000019E0;2,548000031E2;2,769814343E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,186915555E2;6,498723544E1;2,555929819E1;1,886468153E1;3,634411621E1;3,119999886E0;2,595000000E2;2,798307306E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,196943696E2;6,498723221E1;2,555923807E1;1,825329717E1;3,573272705E1;2,950000048E0;2,615000000E2;2,834106233E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,206897312E2;6,498723193E1;2,555916193E1;1,806873650E1;3,554815674E1;3,539999962E0;2,672999878E2;2,842196172E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,216929752E2;6,498723112E1;2,555914483E1;1,763093279E1;3,511035156E1;1,450000048E0;2,597999878E2;2,855666107E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,226937203E2;6,498723111E1;2,555911618E1;1,743769921E1;3,491711426E1;1,889999986E0;2,637999878E2;2,882606827E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,236939044E2;6,498723351E1;2,555905916E1;1,719442274E1;3,467382812E1;2,730000019E0;2,737999878E2;2,918433790E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,246948489E2;6,498723762E1;2,555898358E1;1,721476114E1;3,469415283E1;3,349999905E0;2,785000000E2;2,953587779E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,256957480E2;6,498724560E1;2,555891123E1;1,696532735E1;3,444470215E1;3,559999943E0;2,847999878E2;2,988847854E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,266920477E2;6,498725395E1;2,555883888E1;1,646046178E1;3,393981934E1;3,470000029E0;2,852999878E2;3,025027293E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,276912717E2;6,498726145E1;2,555876400E1;1,611501956E1;3,359436035E1;3,630000114E0;2,836000061E2;3,058586779E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,286907076E2;6,498726727E1;2,555869396E1;1,597349360E1;3,345281982E1;3,299999952E0;2,807000122E2;3,093501511E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,296938488E2;6,498727278E1;2,555862085E1;1,617638914E1;3,365570068E1;3,619999886E0;2,796000061E2;3,127743104E-1;3,790092468E0;2,500000000E0;4,100000000E1
1,306935480E2;6,498727750E1;2,555854888E1;1,605811679E1;3,353741455E1;3,470000029E0;2,801000061E2;3,159220633E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,316952920E2;6,498728318E1;2,555848329E1;1,600020829E1;3,347949219E1;3,210000038E0;2,810000000E2;3,188620255E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,326966818E2;6,498728894E1;2,555842226E1;1,619522895E1;3,367449951E1;3,119999886E0;2,836000061E2;3,216743545E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,336916191E2;6,498729511E1;2,555836425E1;1,600523984E1;3,348449707E1;2,869999886E0;2,837000122E2;3,247057085E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,346915900E2;6,498730331E1;2,555830276E1;1,563672525E1;3,311596680E1;3,160000086E0;2,886000061E2;3,275124814E-1;3,790092468E0;2,500000000E0;4,200000000E1
1,356932199E2;6,498731346E1;2,555824810E1;1,543929314E1;3,291851807E1;2,829999924E0;2,943999939E2;3,301800421E-1;3,790092468E0;2,500000000E0;4,200000000E1
