"Time (s)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"Altitude WGS84 (m)";"Speed (m/s)";"Direction (°)";"Distance (km)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)";"Satellites"
7,606561830E1;6,498838046E1;2,556076632E1;-2,955524274E1;-1,207669067E1;0,000000000E0;NaN;4,925370051E-1;1,064349365E1;1,575305271E1;1,200000000E1
7,706476919E1;6,498837963E1;2,556075856E1;-2,955078694E1;-1,207223511E1;0,000000000E0;NaN;4,927570628E-1;1,034723282E1;1,491588783E1;9,000000000E0
7,806616174E1;6,498837844E1;2,556076230E1;-2,865842404E1;-1,117987061E1;0,000000000E0;NaN;4,928305653E-1;9,740541458E0;1,410334206E1;1,100000000E1
7,906517278E1;6,498837786E1;2,556076305E1;-2,848200256E1;-1,100344849E1;0,000000000E0;NaN;4,929140934E-1;9,501887321E0;1,308994770E1;1,200000000E1
8,006443200E1;6,498837830E1;2,556076449E1;-2,612064369E1;-8,642089844E0;0,000000000E0;NaN;4,939305647E-1;8,970189095E0;1,206554890E1;1,200000000E1
8,106420398E1;6,498838078E1;2,556078530E1;-2,385828445E1;-6,379730225E0;0,000000000E0;NaN;4,940404632E-1;8,566126823E0;1,146558380E1;1,200000000E1
8,206504476E1;6,498838012E1;2,556078704E1;-2,438642250E1;-6,907867432E0;0,000000000E0;NaN;4,943027248E-1;8,662734985E0;1,104646778E1;1,100000000E1
8,306585007E1;6,498838220E1;2,556078967E1;-2,380976074E1;-6,331207275E0;0,000000000E0;NaN;4,950813344E-1;7,992347240E0;1,040507221E1;1,300000000E1
8,406544632E1;6,498838694E1;2,556080186E1;-2,219736163E1;-4,718811035E0;0,000000000E0;NaN;4,952475661E-1;7,886252880E0;1,032407856E1;1,200000000E1
8,506583450E1;6,498838590E1;2,556079932E1;-2,219128928E1;-4,712738037E0;0,000000000E0;NaN;4,956065716E-1;8,108089447E0;1,041045380E1;1,200000000E1
8,606512033E1;6,498838657E1;2,556080679E1;-2,202387019E1;-4,545318604E0;0,000000000E0;NaN;4,961153544E-1;8,635233879E0;1,091471291E1;1,200000000E1
8,706536601E1;6,498838818E1;2,556081692E1;-2,173889685E1;-4,260345459E0;0,000000000E0;NaN;4,964193074E-1;9,397296906E0;1,131836796E1;1,300000000E1
8,806515570E1;6,498838580E1;2,556081374E1;-2,226804296E1;-4,789489746E0;0,000000000E0;NaN;4,968860168E-1;9,703649521E0;1,124311924E1;1,500000000E1
8,906647877E1;6,498838312E1;2,556082138E1;-2,108799275E1;-3,609436035E0;0,000000000E0;NaN;4,971549222E-1;9,935401917E0;1,130849648E1;1,300000000E1
9,006521085E1;6,498838077E1;2,556082273E1;-2,148499830E1;-4,006439209E0;0,000000000E0;NaN;4,974588403E-1;9,395750046E0;1,101711464E1;1,400000000E1
9,106465533E1;6,498837939E1;2,556082831E1;-2,244367952E1;-4,965118408E0;0,000000000E0;NaN;4,978850914E-1;8,479792595E0;1,033823872E1;1,400000000E1
9,206816580E1;6,498838322E1;2,556082793E1;-2,208787143E1;-4,609313965E0;0,000000000E0;NaN;4,981059810E-1;8,280366898E0;1,008453560E1;1,400000000E1
9,306393059E1;6,498838124E1;2,556082755E1;-2,199497773E1;-4,516418457E0;0,000000000E0;NaN;4,984336846E-1;7,855507851E0;9,580406189E0;1,300000000E1
9,406349559E1;6,498837831E1;2,556082830E1;-2,202977062E1;-4,551208496E0;0,000000000E0;NaN;4,989820531E-1;7,129551888E0;8,950763702E0;1,300000000E1
9,506400720E1;6,498837359E1;2,556083168E1;-2,174641977E1;-4,267852783E0;0,000000000E0;NaN;4,991365949E-1;6,849916935E0;8,843858719E0;1,200000000E1
9,606372767E1;6,498837292E1;2,556083456E1;-2,157692614E1;-4,098358154E0;0,000000000E0;NaN;NaN;6,896970272E0;8,777916908E0;1,100000000E1
