"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1,113296048E0;2,283488214E-1;-1,753487587E-1;-4,027175903E-2;2,907097969E-1
1,118299277E0;1,976077408E-1;-1,433551311E-1;-1,317024231E-2;2,444851082E-1
1,123302454E0;1,184067875E-1;-1,281085014E-1;4,929447174E-2;1,812785161E-1
1,128305631E0;7,149083912E-2;-7,965707779E-2;1,420993805E-1;1,779000395E-1
1,133341100E0;5,611708760E-2;-5,790805817E-2;2,175416946E-1;2,320061629E-1
1,138345892E0;3,788926452E-2;3,706502914E-2;2,068986893E-1;2,135801498E-1
1,143350735E0;2,316501364E-2;7,645535469E-2;1,631364822E-1;1,816467752E-1
1,148355527E0;-1,448513195E-2;5,847954750E-2;8,887386322E-2;1,073696423E-1
1,153352662E0;-5,562573671E-2;8,584284782E-2;8,101463318E-3;1,026101887E-1
1,158357089E0;-8,321661502E-2;6,111478806E-2;-2,220058441E-2;1,056072359E-1
1,163361517E0;-1,441840529E-1;9,870934486E-2;-1,432323456E-2;1,753217925E-1
1,168365944E0;-1,878491640E-1;1,458470821E-1;-1,420030594E-1;2,769901599E-1
1,173377142E0;-2,566233873E-1;1,930968761E-1;-1,737232208E-1;3,651324745E-1
1,178381933E0;-2,836771011E-1;2,023532391E-1;-1,815271378E-1;3,929015561E-1
1,183386673E0;-2,956995070E-1;1,832561493E-1;-1,893262863E-1;3,960624413E-1
1,188391412E0;-2,835770845E-1;1,810271740E-1;-1,947050095E-1;3,887117715E-1
1,193386933E0;-2,714128494E-1;1,621179581E-1;-2,190275192E-1;3,846039799E-1
1,198391256E0;-2,641978860E-1;1,362667084E-1;-2,479038239E-1;3,870729190E-1
1,203395579E0;-2,548482716E-1;1,106839180E-1;-2,884283066E-1;4,004865282E-1
1,208399902E0;-2,455886453E-1;1,018424034E-1;-2,787055969E-1;3,851784880E-1
1,213405683E0;-2,077789158E-1;1,288347244E-1;-2,382125854E-1;3,413439613E-1
1,218410058E0;-2,131761611E-1;1,084704399E-1;-2,005243301E-1;3,121216413E-1
1,223414433E0;-2,495183647E-1;1,265614033E-1;-1,252088547E-1;3,065199184E-1
1,228418808E0;-2,233707905E-1;1,256484985E-1;-3,393173218E-2;2,585216000E-1
1,233425110E0;-2,162930965E-1;1,555755138E-1;1,621341705E-2;2,669256807E-1
1,238429537E0;-1,855946183E-1;1,353664398E-1;8,256912231E-2;2,441046811E-1
1,243434017E0;-1,553472877E-1;1,556344032E-1;1,032562256E-1;2,429335205E-1
1,248438496E0;-1,207887530E-1;1,186962128E-1;1,451568604E-1;2,230453494E-1
1,253443756E0;-9,374505281E-2;1,033449173E-1;1,819829941E-1;2,293166304E-1
1,258448235E0;-1,717874780E-2;1,283798218E-1;2,042808533E-1;2,418825232E-1
1,263452767E0;-1,340040565E-2;7,928681374E-2;1,623239517E-1;1,811492065E-1
